別紙　学部・研究科等組織ID一覧（2024年度）,,,,,
学部・研究科等組織ID,学校名,学部・研究科名称,所在地,課程区分,昼夜区分
0124-02-02-4M02-00-1,弘前大学,医学部（修業年限６年）,青森,,昼間
0124-02-02-4M11-03-1,弘前大学,保健学研究科,青森,博士課程（後期）,昼間
0124-02-02-4M11-03-1,弘前大学,保健学研究科（博士課程(後期)）,青森,博士課程（後期）,昼間
0124-02-02-4X60-03-1,弘前大学,地域社会研究科,青森,博士課程（後期）,昼間
0124-02-02-4X60-03-1,弘前大学,地域社会研究科（博士課程(後期)）,青森,博士課程（後期）,昼間
0124-02-02-6M01-04-1,弘前大学,医学研究科,青森,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0124-02-02-6M01-04-1,弘前大学,医学研究科（修業年限４年）,青森,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0124-02-02-6M01-04-1,弘前大学,医学研究科（修業年限４年）（博士課程(一貫)）,青森,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0124-02-02-6M01-04-1,弘前大学,医学研究科（博士課程(一貫)）,青森,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0124-02-02-GS01-09-1,弘前大学,教育学研究科,青森,専門職学位課程教職大学院,昼間
0124-02-02-GS01-09-1,弘前大学,教育学研究科（専門職学位課程）,青森,専門職学位課程教職大学院,昼間
0128-03-03-1K01-00-1,岩手大学,農学部,岩手,,昼間
0128-03-03-1K01-00-1,岩手大学,農学部（４年制）,岩手,,昼間
0128-03-03-1K01-00-1,岩手大学,農学部（共同獣医学科以外）,岩手,,昼間
0128-03-03-1S02-00-1,岩手大学,教育学部（教員養成）,岩手,,昼間
0128-03-03-1X07-00-1,岩手大学,理工学部,岩手,,昼間
0128-03-03-1X09-01-1,岩手大学,総合科学研究科,岩手,修士課程,昼間
0128-03-03-1X09-01-1,岩手大学,総合科学研究科（修士課程）,岩手,修士課程,昼間
0128-03-03-1X38-00-1,岩手大学,人文社会科学部,岩手,,昼間
0128-03-03-1Z99-00-1,岩手大学,いずれの学部にも所属しない聴講生・研究生等,岩手,,昼間
0128-03-03-1Z99-00-1,岩手大学,国際交流センター,岩手,,昼間
0128-03-03-4K10-00-1,岩手大学,農学部（６年制（獣医））,岩手,,昼間
0128-03-03-4K10-00-1,岩手大学,農学部（共同獣医学科）,岩手,,昼間
0128-03-03-4K10-00-1,岩手大学,農学部（修業年限６年）,岩手,,昼間
0128-03-03-4K11-03-1,岩手大学,連合農学研究科,岩手,博士課程（後期）,昼間
0128-03-03-4K11-03-1,岩手大学,連合農学研究科（博士課程(後期)）,岩手,博士課程（後期）,昼間
0128-03-03-4K11-03-1,岩手大学,連合農学研究科（博士課程）,岩手,博士課程（後期）,昼間
0128-03-03-4X02-03-1,岩手大学,理工学研究科,岩手,博士課程（後期）,昼間
0128-03-03-6K04-04-1,岩手大学,獣医学研究科,岩手,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0128-03-03-6K04-04-1,岩手大学,獣医学研究科（博士課程）,岩手,博士課程（医歯薬学、獣医学関係の一貫制課程）,昼間
0128-03-03-GS01-09-1,岩手大学,教育学研究科,岩手,専門職学位課程教職大学院,昼間
0128-03-03-GS01-09-1,岩手大学,教育学研究科（専門職学位課程）,岩手,専門職学位課程教職大学院,昼間
0132-61-04-1A01-00-1,東北大学,文学部,仙台市,,昼間
0132-61-04-1C05-00-1,東北大学,法学部,仙台市,,昼間
0132-61-04-1C09-00-1,東北大学,経済学部,仙台市,,昼間
0132-61-04-1E01-00-1,東北大学,理学部,仙台市,,昼間
0132-61-04-1G01-00-1,東北大学,工学部,仙台市,,昼間
0132-61-04-1K01-00-1,東北大学,農学部,仙台市,,昼間
0132-61-04-1K01-00-1,東北大学,農学部（群）,仙台市,,昼間
0132-61-04-1M02-01-1,東北大学,医学系研究科,仙台市,修士課程,昼間
0132-61-04-1M02-01-1,東北大学,医学系研究科（修士課程）,仙台市,修士課程,昼間
0132-61-04-1M03-01-1,東北大学,歯学研究科,仙台市,修士課程,昼間
0132-61-04-1M03-01-1,東北大学,歯学研究科（修士課程）,仙台市,修士課程,昼間
0132-61-04-1M04-00-1,東北大学,医学部（修業年限４年）,仙台市,,昼間
0132-61-04-1M04-00-1,東北大学,医学部（保健学科）,仙台市,,昼間
0132-61-04-1M10-00-1,東北大学,薬学部,仙台市,,昼間
0132-61-04-1M10-00-1,東北大学,薬学部（４年制）,仙台市,,昼間
0132-61-04-1M10-00-1,東北大学,薬学部（修業年限４年）,仙台市,,昼間
0132-61-04-1S01-00-1,東北大学,教育学部,仙台市,,昼間
0132-61-04-1S01-00-1,東北大学,教育学部（教員養成以外）,仙台市,,昼間
0132-61-04-1Z99-00-1,東北大学,いずれの学部にも所属しない聴講生・研究生等,仙台市,,昼間
0132-61-04-1Z99-00-1,東北大学,金属材料研究所他,仙台市,,昼間
0132-61-04-2A01-02-1,東北大学,文学研究科,仙台市,博士課程（前期）,昼間
0132-61-04-2A01-02-1,東北大学,文学研究科（博士課程(前期)）,仙台市,博士課程（前期）,昼間
0132-61-04-2C01-02-1,東北大学,法学研究科,仙台市,博士課程（前期）,昼間
0132-61-04-2C01-02-1,東北大学,法学研究科（博士課程(前期)）,仙台市,博士課程（前期）,昼間
0132-61-04-2C09-02-1,東北大学,経済学研究科,仙台市,博士課程（前期）,昼間
0132-61-04-2C09-02-1,東北大学,経済学研究科（博士課程(前期)）,仙台市,博士課程（前期）,昼間
0132-61-04-2E01-02-1,東北大学,理学研究科,仙台市,博士課程（前期）,昼間
0132-61-04-2E01-02-1,東北大学,理学研究科（博士課程(前期)）,仙台市,博士課程（前期）,昼間
0132-61-04-2G01-02-1,東北大学,工学研究科,仙台市,博士課程（前期）,昼間
0132-61-04-2G01-02-1,東北大学,工学研究科（博士課程(前期)）,仙台市,博士課程（前期）,昼間
0132-61-04-2G11-02-1,東北大学,情報科学研究科,仙台市,博士課程（前期）,昼間
0132-61-04-2G11-02-1,東北大学,情報科学研究科（博士課程(前期)）,仙台市,博士課程（前期）,昼間
